id,origin,destination,airline,fare,travel_date,search_date,booking_window,created_at
106,DEL,BOM,Air India,9968,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.837461
107,DEL,BOM,Air India,13239,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.843814
108,DEL,BOM,SpiceJet,22551,2026-09-20,2026-09-13,7,2026-09-13 07:32:13.851063
109,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.419204
110,DEL,BOM,IndiGo,6583,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.431468
111,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.431468
112,DEL,BOM,Air India,6314,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.44588
113,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.44588
114,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.461222
115,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.468249
116,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.468249
117,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.478162
118,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.484532
119,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.492621
120,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.492621
121,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.500991
122,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.500991
123,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.51783
124,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.52385
125,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.529871
126,DEL,BOM,Air India Express,6779,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.537091
127,DEL,BOM,Air India,6792,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.540317
128,DEL,BOM,IndiGo,6793,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.540317
129,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.550294
130,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.559296
131,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.563242
132,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.567243
133,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.573032
134,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.578495
135,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.582375
136,DEL,BOM,Air India Express,7261,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.589045
137,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.595334
138,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.600156
139,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.605423
140,DEL,BOM,Air India,7553,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.60919
141,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.613819
142,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.61737
143,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.622284
144,DEL,BOM,Akasa Air,7716,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.631341
145,DEL,BOM,Air India,7879,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.633161
146,DEL,BOM,Air India,8052,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.639706
147,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.64484
148,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.649175
149,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.654947
150,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.66181
151,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.666127
152,DEL,BOM,Akasa Air,8419,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.671646
153,DEL,BOM,IndiGo,8473,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.673194
154,DEL,BOM,Akasa Air,8720,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.682635
155,DEL,BOM,IndiGo,8998,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.688493
156,DEL,BOM,Akasa Air,9360,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.693154
157,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.699072
158,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.704118
159,DEL,BOM,Air India,9905,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.708047
160,DEL,BOM,Air India,9968,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.713088
161,DEL,BOM,Air India,13239,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.720729
162,DEL,BOM,SpiceJet,22551,2026-09-20,2026-09-13,7,2026-09-13 07:36:04.725071
163,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
164,DEL,BOM,IndiGo,6583,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
165,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
166,DEL,BOM,Air India,6314,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
167,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
